0	87.2
0.5	86.8
1	86.7
1.5	86.4
2	86.3
2.5	86.4
3	86.4
3.5	86.6
4	86.9
4.5	87.3
5	87.7
5.5	88
6	88.4
6.5	88.7
7	89.2
7.5	89.6
8	90
8.5	90.3
9	90.7
9.5	91
10	91.3
10.5	91.7
11	92
11.5	92.3
12	92.6
12.5	92.9
13	93.2
13.5	93.5
14	93.8
14.5	94.1
15	94.4
15.5	94.7
16	94.9
16.5	95.2
17	95.5
17.5	95.8
18	96.1
18.5	96.4
19	96.6
19.5	96.9
20	97.2
20.5	97.5
21	97.7
21.5	98
22	98.2
22.5	98.5
23	98.7
23.5	99
24	99.3
24.5	99.5
25	99.8
25.5	100
26	100.3
26.5	100.9
27	101.9
27.5	104.1
28	108.4
28.5	115.2
29	123.6
29.5	131.9
30	139.7
30.5	146.6
31	152.8
31.5	158.3
32	163.5
32.5	168.3
33	172.9
33.5	177.5
34	182
34.5	186.7
35	191.5
35.5	196.5
36	201.9
36.5	207.2
37	212.6
37.5	218.1
38	223.5
38.5	228.9
39	234.3
39.5	239.7
40	245
40.5	250.2
41	255.3
41.5	260.3
42	265.3
42.5	270.4
43	275.4
43.5	280.5
44	285.4
44.5	290.7
45	295.9
45.5	301.3
46	306.7
46.5	312
47	317.4
47.5	322.9
48	328.4
48.5	333.9
49	339.5
49.5	345
50	350.6
50.5	356.1
51	361.6
51.5	367.1
52	372.5
52.5	378
53	383.7
53.5	389.2
54	394.7
54.5	400.2
55	405.7
55.5	411.3
56	416.8
56.5	422.4
57	427.8
57.5	433.3
58	438.8
58.5	444.1
59	449.5
59.5	455
60	460.6
60.5	466.1
61	471.8
61.5	477.3
62	482.5
62.5	487.8
63	492.9
63.5	498.3
64	503.4
64.5	508.9
65	514.3
65.5	519.7
66	524.9
66.5	530.2
67	535.5
67.5	540.7
68	546.1
68.5	551.4
69	556.6
69.5	561.8
70	567.1
70.5	572.4
71	577.5
71.5	582.4
72	586.5
72.5	590
73	593
73.5	595.4
74	597
74.5	598.4
75	599.1
75.5	599.6
76	600
76.5	600.1
77	600.7
77.5	600.8
78	601.1
78.5	601.4
79	601.5
79.5	601.8
80	602
80.5	602
81	602.1
81.5	602.3
82	602.2
82.5	602.1
83	602.1
83.5	602
84	601.9
84.5	601.9
85	601.8
85.5	601.8
86	601.8
86.5	601.8
87	602
87.5	602
88	602.1
88.5	602.1
89	602.1
89.5	602.1
90	602.1
90.5	602
91	602
91.5	602
92	602
92.5	601.9
93	601.8
93.5	601.7
94	601.6
94.5	601.4
95	601.2
95.5	601
96	601
96.5	600.9
97	600.8
97.5	600.7
98	600.8
98.5	600.8
99	600.8
99.5	600.7
100	600.6
100.5	600.5
101	600.3
101.5	600.3
102	600.2
102.5	600.2
103	600.3
103.5	600.3
104	600.3
104.5	600.1
105	600.1
105.5	600.1
106	600.1
106.5	600
107	600.1
107.5	600.1
108	600.1
108.5	600.1
109	600.1
109.5	600.2
110	600
110.5	600
111	599.9
111.5	599.8
112	599.8
112.5	599.8
113	599.9
113.5	599.8
114	599.8
114.5	599.8
115	599.8
115.5	599.6
116	599.4
116.5	599.3
117	599.3
117.5	599.1
118	599.1
118.5	599.1
119	599.1
119.5	599.1
120	599.1
120.5	599.1
121	599
121.5	599.1
122	599
122.5	599.1
123	599
123.5	599
124	598.9
124.5	599
125	599
125.5	599
126	598.9
126.5	598.9
127	598.9
127.5	598.9
128	598.9
128.5	598.9
129	598.8
129.5	598.6
130	598.6
130.5	598.6
131	598.5
131.5	598.6
132	598.7
132.5	598.8
133	598.7
133.5	598.7
134	598.6
134.5	598.5
135	598.5
135.5	598.5
136	598.7
136.5	598.7
137	598.8
137.5	598.8
138	598.8
138.5	598.8
139	598.8
139.5	598.8
140	598.7
140.5	598.8
141	598.9
141.5	599.1
142	599.2
142.5	599.3
143	599.3
143.5	599.2
144	599.1
144.5	599
145	598.9
145.5	598.8
146	598.8
146.5	598.7
147	598.8
147.5	599
148	599.1
148.5	599.1
149	599.3
149.5	599.3
150	599.3
150.5	599.3
151	599.3
151.5	599.3
152	599.4
152.5	599.6
153	599.7
153.5	599.9
154	600
154.5	600
155	599.9
155.5	599.8
156	599.7
156.5	599.6
157	599.5
157.5	599.6
158	599.6
158.5	599.5
159	599.4
159.5	599.3
160	599.3
160.5	599.3
161	599.4
161.5	599.4
162	599.3
162.5	599.4
163	599.4
163.5	599.3
164	599.3
164.5	599.3
165	599.3
165.5	599.2
166	599.1
166.5	599.1
167	599.1
167.5	599.1
168	599
168.5	599
169	599
169.5	599.1
170	599.1
170.5	599.2
171	599.3
171.5	599.3
172	599.4
172.5	599.4
173	599.5
173.5	599.4
174	599.3
174.5	599.3
175	599.3
175.5	599.2
176	599.3
176.5	599.4
177	599.4
177.5	599.5
178	599.6
178.5	599.5
179	599.5
179.5	599.4
180	599.3
